version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,70,0.3656,1.8789,5,0.8051,0.3237,0.0088,1.7168
3,80,0.3545,1.8396,5,1.742,0.3079,0.0064,0.3882
3,90,0.3674,1.9321,5,2.1476,0.2883,0.0058,0.4897
3,100,0.3918,2.0877,5,1.9389,0.2696,0.0101,0.7676
3,110,0.382,2.0721,5,1.9629,0.2575,0.0049,0.3455
3,120,0.4011,2.1951,5,2.0805,0.2336,0.0084,0.6818
3,130,0.3918,2.1739,5,2.1645,0.2149,0.004,0.2633
3,140,0.3866,2.1784,5,2.1559,0.1983,0.004,0.3229
3,150,0.3802,2.1942,5,2.2531,0.1744,0.0035,0.2754
3,160,0.4002,2.2889,5,2.302,0.1515,0.0102,0.7018
3,170,0.3933,2.3237,5,2.365,0.1269,0.0033,0.31
3,180,0.3773,2.2737,5,2.3247,0.0953,0.0029,0.3001
3,190,0.3949,2.4266,5,2.4157,0.0697,0.0062,0.66
3,200,0.402,2.474,5,2.4174,0.0606,0.0085,0.9599
3,210,0.3858,2.4139,5,2.4292,0.0399,0.0063,0.6587
3,220,0.4061,2.5895,5,2.5789,0.0218,0.0099,0.8766
3,230,0.3971,2.5796,5,2.6047,0.0188,0.008,0.6489
3,240,0.3875,2.5442,5,2.5764,0.0199,0.0088,0.6156
3,250,0.4371,2.8732,5,2.7675,0.023,0.0199,1.4033
3,260,0.3904,2.6779,5,2.7573,0.0255,0.0059,0.3862
3,270,0.4115,2.8221,5,2.8191,0.0221,0.012,0.921
3,280,0.3909,2.7461,5,2.8602,0.0206,0.0038,0.3384
3,290,0.432,2.9953,5,2.8225,0.0147,0.0141,1.2652
3,300,0.4027,2.8872,5,2.8315,0.0147,0.0077,0.5772
3,310,0.3964,2.8525,5,2.9304,0.0116,0.0074,0.6162
3,320,0.4017,2.917,5,2.9615,0.0146,0.0068,0.662
3,330,0.4292,3.1338,5,2.9993,0.0141,0.0119,1.1404
3,340,0.42,3.1337,5,3.1785,0.0122,0.0092,0.8217
3,350,0.4171,3.1655,5,3.2126,0.0128,0.0099,1.0431
3,360,0.4105,3.125,5,3.0974,0.0137,0.0087,0.6821
3,370,0.4324,3.2853,5,3.3045,0.011,0.0147,1.2663
3,380,0.4342,3.3418,5,3.2054,0.0111,0.0149,1.187
3,390,0.3965,3.1846,5,3.3147,0.0101,0.0074,0.7297
3,400,0.4216,3.3177,5,3.3827,0.0101,0.0142,0.9925
3,410,0.4552,3.604,5,3.5917,0.0084,0.0198,1.5847
3,420,0.4085,3.3138,5,3.318,0.0101,0.0177,1.2231
3,430,0.4642,3.678,5,3.6021,0.0098,0.0268,1.722
3,440,0.472,3.7691,5,3.6568,0.0085,0.0245,1.5212
3,450,0.4245,3.5638,5,3.4703,0.01,0.0133,1.1973
3,460,0.4138,3.557,5,3.6378,0.0109,0.0104,1.0484
3,470,0.4299,3.65,5,3.7192,0.0123,0.0122,1.2023
3,480,0.4524,3.8572,5,3.809,0.0106,0.0178,1.6154
3,490,0.3949,3.5674,5,3.6326,0.0136,0.0078,0.9581
3,500,0.4228,3.7741,5,3.6766,0.0106,0.0116,1.2626
3,510,0.3989,3.6458,5,3.7857,0.0116,0.0082,0.9992
3,520,0.4321,3.7752,5,3.7965,0.0119,0.0139,1.1485
3,530,0.412,3.8186,5,3.9302,0.0114,0.0062,1.0279
3,540,0.453,4.0403,5,4.0066,0.0123,0.0187,1.7516
3,550,0.4435,3.9864,5,3.9494,0.0124,0.0194,1.6329
3,560,0.446,4.0294,5,4.0141,0.0122,0.0129,1.0998
3,570,0.4168,3.9404,5,4.1645,0.0135,0.0084,1.2743
3,580,0.4452,4.1427,5,4.1494,0.0135,0.0185,1.5121
3,590,0.5152,4.6414,5,4.4047,0.0137,0.0306,2.6327
3,600,0.4569,4.2434,5,4.3048,0.0149,0.023,1.9439
3,610,0.4441,4.2533,5,4.3614,0.0144,0.015,1.2794
3,620,0.428,4.1446,5,4.2213,0.0137,0.0111,1.0673
3,630,0.4413,4.2841,5,4.2618,0.0163,0.0131,1.2571
3,640,0.4599,4.4886,5,4.559,0.0152,0.0165,1.2654
3,650,0.4364,4.3093,5,4.3591,0.0159,0.0104,1.1816
